fra;sg;cage_scol;cl_age18;pop;P;T;Ti;Tp;Td
FR;2022-02-03-2022-02-09;[03-06);05;2317251,75;36466,00;132904,00;1573,67;27,44;5735,41
FR;2022-02-04-2022-02-10;[03-06);05;2317251,75;32752,00;120273,00;1413,40;27,23;5190,33
FR;2022-02-05-2022-02-11;[03-06);05;2317251,75;29410,00;110126,00;1269,18;26,71;4752,44
FR;2022-02-06-2022-02-12;[03-06);05;2317251,75;26935,00;102550,00;1162,37;26,27;4425,50
FR;2022-02-07-2022-02-13;[03-06);05;2317251,75;26138,00;99886,00;1127,97;26,17;4310,54
FR;2022-02-08-2022-02-14;[03-06);05;2317251,75;21477,00;86749,00;926,83;24,76;3743,62
FR;2022-02-09-2022-02-15;[03-06);05;2317251,75;18965,00;79296,00;818,43;23,92;3421,98
FR;2022-02-10-2022-02-16;[03-06);05;2317251,75;16923,00;72521,00;730,30;23,34;3129,61
FR;2022-02-11-2022-02-17;[03-06);05;2317251,75;15086,00;66392,00;651,03;22,72;2865,12
FR;2022-02-12-2022-02-18;[03-06);05;2317251,75;13647,00;60619,00;588,93;22,51;2615,99
FR;2022-02-13-2022-02-19;[03-06);05;2317251,75;12739,00;57699,00;549,75;22,08;2489,98
FR;2022-02-14-2022-02-20;[03-06);05;2317251,75;12470,00;56902,00;538,14;21,91;2455,58
FR;2022-02-15-2022-02-21;[03-06);05;2317251,75;11031,00;51098,00;476,04;21,59;2205,11
FR;2022-02-16-2022-02-22;[03-06);05;2317251,75;10223,00;49128,00;441,17;20,81;2120,10
FR;2022-02-17-2022-02-23;[03-06);05;2317251,75;9606,00;45746,00;414,54;21,00;1974,15
FR;2022-02-18-2022-02-24;[03-06);05;2317251,75;9280,00;46644,00;400,47;19,90;2012,90
FR;2022-02-19-2022-02-25;[03-06);05;2317251,75;9137,00;46563,00;394,30;19,62;2009,41
FR;2022-02-20-2022-02-26;[03-06);05;2317251,75;9062,00;45548,00;391,07;19,90;1965,60
FR;2022-02-21-2022-02-27;[03-06);05;2317251,75;9073,00;45536,00;391,54;19,92;1965,09
FR;2022-02-22-2022-02-28;[03-06);05;2317251,75;9789,00;48098,00;422,44;20,35;2075,65
FR;2022-02-23-2022-03-01;[03-06);05;2317251,75;10200,00;48974,00;440,18;20,83;2113,45
FR;2022-02-24-2022-03-02;[03-06);05;2317251,75;10520,00;49703,00;453,99;21,17;2144,91
FR;2022-02-25-2022-03-03;[03-06);05;2317251,75;10914,00;49901,00;470,99;21,87;2153,46
FR;2022-02-26-2022-03-04;[03-06);05;2317251,75;11018,00;50117,00;475,48;21,98;2162,78
FR;2022-02-27-2022-03-05;[03-06);05;2317251,75;11046,00;50028,00;476,69;22,08;2158,94
FR;2022-02-28-2022-03-06;[03-06);05;2317251,75;11049,00;49933,00;476,81;22,13;2154,84
FR;2022-03-01-2022-03-07;[03-06);05;2317251,75;11229,00;51808,00;484,58;21,67;2235,75
FR;2022-03-02-2022-03-08;[03-06);05;2317251,75;11500,00;54229,00;496,28;21,21;2340,23
FR;2022-03-03-2022-03-09;[03-06);05;2317251,75;11693,00;55692,00;504,61;21,00;2403,36
FR;2022-03-04-2022-03-10;[03-06);05;2317251,75;11938,00;58556,00;515,18;20,39;2526,96
FR;2022-03-05-2022-03-11;[03-06);05;2317251,75;12181,00;61775,00;525,67;19,72;2665,87
FR;2022-03-06-2022-03-12;[03-06);05;2317251,75;12544,00;63494,00;541,33;19,76;2740,06
FR;2022-03-07-2022-03-13;[03-06);05;2317251,75;12594,00;63738,00;543,49;19,76;2750,59
FR;2022-03-08-2022-03-14;[03-06);05;2317251,75;12886,00;66206,00;556,09;19,46;2857,09
FR;2022-03-09-2022-03-15;[03-06);05;2317251,75;13074,00;68402,00;564,20;19,11;2951,86
FR;2022-03-10-2022-03-16;[03-06);05;2317251,75;13323,00;70396,00;574,95;18,93;3037,91
FR;2022-03-11-2022-03-17;[03-06);05;2317251,75;13378,00;71353,00;577,32;18,75;3079,21
FR;2022-03-12-2022-03-18;[03-06);05;2317251,75;13557,00;72286,00;585,05;18,75;3119,47
FR;2022-03-13-2022-03-19;[03-06);05;2317251,75;13532,00;73063,00;583,97;18,52;3153,00
FR;2022-03-14-2022-03-20;[03-06);05;2317251,75;13601,00;73527,00;586,95;18,50;3173,03
FR;2022-03-15-2022-03-21;[03-06);05;2317251,75;13986,00;76787,00;603,56;18,21;3313,71
FR;2022-03-16-2022-03-22;[03-06);05;2317251,75;14290,00;79096,00;616,68;18,07;3413,35
FR;2022-03-17-2022-03-23;[03-06);05;2317251,75;14680,00;81553,00;633,51;18,00;3519,38
FR;2022-03-18-2022-03-24;[03-06);05;2317251,75;14902,00;83947,00;643,09;17,75;3622,70
FR;2022-03-19-2022-03-25;[03-06);05;2317251,75;15013,00;85585,00;647,88;17,54;3693,38
FR;2022-03-20-2022-03-26;[03-06);05;2317251,75;15169,00;86744,00;654,61;17,49;3743,40
FR;2022-03-21-2022-03-27;[03-06);05;2317251,75;15123,00;86855,00;652,63;17,41;3748,19
FR;2022-03-22-2022-03-28;[03-06);05;2317251,75;15164,00;88215,00;654,40;17,19;3806,88
FR;2022-03-23-2022-03-29;[03-06);05;2317251,75;15087,00;89970,00;651,07;16,77;3882,62
FR;2022-03-24-2022-03-30;[03-06);05;2317251,75;14977,00;91070,00;646,33;16,45;3930,09
FR;2022-03-25-2022-03-31;[03-06);05;2317251,75;14781,00;90510,00;637,87;16,33;3905,92
FR;2022-03-26-2022-04-01;[03-06);05;2317251,75;14553,00;89088,00;628,03;16,34;3844,55
FR;2022-03-27-2022-04-02;[03-06);05;2317251,75;14372,00;88070,00;620,22;16,32;3800,62
FR;2022-03-28-2022-04-03;[03-06);05;2317251,75;14390,00;87893,00;620,99;16,37;3792,98
FR;2022-03-29-2022-04-04;[03-06);05;2317251,75;14352,00;86276,00;619,35;16,63;3723,20
FR;2022-03-30-2022-04-05;[03-06);05;2317251,75;14493,00;84140,00;625,44;17,22;3631,03
FR;2022-03-31-2022-04-06;[03-06);05;2317251,75;14614,00;83350,00;630,66;17,53;3596,93
FR;2022-04-01-2022-04-07;[03-06);05;2317251,75;14823,00;83977,00;639,68;17,65;3623,99
FR;2022-04-02-2022-04-08;[03-06);05;2317251,75;14826,00;83317,00;639,81;17,79;3595,51
FR;2022-04-03-2022-04-09;[03-06);05;2317251,75;14784,00;83494,00;638,00;17,71;3603,15
FR;2022-04-04-2022-04-10;[03-06);05;2317251,75;14685,00;83178,00;633,72;17,65;3589,51
FR;2022-04-05-2022-04-11;[03-06);05;2317251,75;13926,00;77999,00;600,97;17,85;3366,01
FR;2022-04-06-2022-04-12;[03-06);05;2317251,75;13378,00;74528,00;577,32;17,95;3216,22
FR;2022-04-07-2022-04-13;[03-06);05;2317251,75;12699,00;71682,00;548,02;17,72;3093,41
FR;2022-04-08-2022-04-14;[03-06);05;2317251,75;12000,00;66368,00;517,85;18,08;2864,08
FR;2022-04-09-2022-04-15;[03-06);05;2317251,75;11420,00;62957,00;492,83;18,14;2716,88
FR;2022-04-10-2022-04-16;[03-06);05;2317251,75;10966,00;60767,00;473,23;18,05;2622,37
FR;2022-04-11-2022-04-17;[03-06);05;2317251,75;10780,00;59795,00;465,21;18,03;2580,43
FR;2022-04-12-2022-04-18;[03-06);05;2317251,75;8129,00;48250,00;350,80;16,85;2082,21
FR;2022-04-13-2022-04-19;[03-06);05;2317251,75;8075,00;46203,00;348,47;17,48;1993,87
FR;2022-04-14-2022-04-20;[03-06);05;2317251,75;7368,00;42406,00;317,96;17,37;1830,01
FR;2022-04-15-2022-04-21;[03-06);05;2317251,75;6727,00;38686,00;290,30;17,39;1669,48
FR;2022-04-16-2022-04-22;[03-06);05;2317251,75;6225,00;35149,00;268,64;17,71;1516,84
FR;2022-04-17-2022-04-23;[03-06);05;2317251,75;5818,00;33530,00;251,07;17,35;1446,97
FR;2022-04-18-2022-04-24;[03-06);05;2317251,75;5760,00;33351,00;248,57;17,27;1439,25
FR;2022-04-19-2022-04-25;[03-06);05;2317251,75;6691,00;37362,00;288,75;17,91;1612,34
FR;2022-04-20-2022-04-26;[03-06);05;2317251,75;5549,00;32434,00;239,46;17,11;1399,68
FR;2022-04-21-2022-04-27;[03-06);05;2317251,75;5248,00;30212,00;226,48;17,37;1303,79
FR;2022-04-22-2022-04-28;[03-06);05;2317251,75;5114,00;30032,00;220,69;17,03;1296,02
FR;2022-04-23-2022-04-29;[03-06);05;2317251,75;5069,00;29527,00;218,75;17,17;1274,22
FR;2022-04-24-2022-04-30;[03-06);05;2317251,75;5023,00;28509,00;216,77;17,62;1230,29
FR;2022-04-25-2022-05-01;[03-06);05;2317251,75;4996,00;28146,00;215,60;17,75;1214,63
FR;2022-04-26-2022-05-02;[03-06);05;2317251,75;5211,00;28543,00;224,88;18,26;1231,76
FR;2022-04-27-2022-05-03;[03-06);05;2317251,75;5435,00;29036,00;234,55;18,72;1253,04
FR;2022-04-28-2022-05-04;[03-06);05;2317251,75;5529,00;28972,00;238,60;19,08;1250,27
FR;2022-04-29-2022-05-05;[03-06);05;2317251,75;5546,00;29073,00;239,34;19,08;1254,63
FR;2022-04-30-2022-05-06;[03-06);05;2317251,75;5592,00;28414,00;241,32;19,68;1226,19
FR;2022-05-01-2022-05-07;[03-06);05;2317251,75;5675,00;28320,00;244,90;20,04;1222,14
FR;2022-05-02-2022-05-08;[03-06);05;2317251,75;5682,00;28324,00;245,20;20,06;1222,31
FR;2022-05-03-2022-05-09;[03-06);05;2317251,75;5653,00;28266,00;243,95;20,00;1219,81
FR;2022-05-04-2022-05-10;[03-06);05;2317251,75;5558,00;29156,00;239,85;19,06;1258,21
FR;2022-05-05-2022-05-11;[03-06);05;2317251,75;5507,00;30017,00;237,65;18,35;1295,37
FR;2022-05-06-2022-05-12;[03-06);05;2317251,75;5451,00;30722,00;235,24;17,74;1325,79
FR;2022-05-07-2022-05-13;[03-06);05;2317251,75;5310,00;32198,00;229,15;16,49;1389,49
FR;2022-05-08-2022-05-14;[03-06);05;2317251,75;5067,00;31991,00;218,66;15,84;1380,56
FR;2022-05-09-2022-05-15;[03-06);05;2317251,75;5030,00;32004,00;217,07;15,72;1381,12
FR;2022-05-10-2022-05-16;[03-06);05;2317251,75;4511,00;31654,00;194,67;14,25;1366,01
FR;2022-05-11-2022-05-17;[03-06);05;2317251,75;4185,00;30934,00;180,60;13,53;1334,94
FR;2022-05-12-2022-05-18;[03-06);05;2317251,75;3855,00;29861,00;166,36;12,91;1288,64
FR;2022-05-13-2022-05-19;[03-06);05;2317251,75;3558,00;28061,00;153,54;12,68;1210,96
FR;2022-05-14-2022-05-20;[03-06);05;2317251,75;3207,00;26609,00;138,40;12,05;1148,30
FR;2022-05-15-2022-05-21;[03-06);05;2317251,75;3008,00;25837,00;129,81;11,64;1114,98
FR;2022-05-16-2022-05-22;[03-06);05;2317251,75;2949,00;25584,00;127,26;11,53;1104,07
FR;2022-05-17-2022-05-23;[03-06);05;2317251,75;2462,00;23555,00;106,25;10,45;1016,51
FR;2022-05-18-2022-05-24;[03-06);05;2317251,75;2198,00;21199,00;94,85;10,37;914,83
FR;2022-05-19-2022-05-25;[03-06);05;2317251,75;1937,00;19739,00;83,59;9,81;851,83
FR;2022-05-20-2022-05-26;[03-06);05;2317251,75;1577,00;16692,00;68,05;9,45;720,34
FR;2022-05-21-2022-05-27;[03-06);05;2317251,75;1446,00;14337,00;62,40;10,09;618,71
FR;2022-05-22-2022-05-28;[03-06);05;2317251,75;1347,00;13713,00;58,13;9,82;591,78
FR;2022-05-23-2022-05-29;[03-06);05;2317251,75;1326,00;13531,00;57,22;9,80;583,92
FR;2022-05-24-2022-05-30;[03-06);05;2317251,75;1208,00;12521,00;52,13;9,65;540,34
FR;2022-05-25-2022-05-31;[03-06);05;2317251,75;1172,00;12112,00;50,58;9,68;522,69
FR;2022-05-26-2022-06-01;[03-06);05;2317251,75;1216,00;12204,00;52,48;9,96;526,66
FR;2022-05-27-2022-06-02;[03-06);05;2317251,75;1376,00;13932,00;59,38;9,88;601,23
FR;2022-05-28-2022-06-03;[03-06);05;2317251,75;1341,00;13955,00;57,87;9,61;602,22
FR;2022-05-29-2022-06-04;[03-06);05;2317251,75;1366,00;14154,00;58,95;9,65;610,81
FR;2022-05-30-2022-06-05;[03-06);05;2317251,75;1381,00;14157,00;59,60;9,75;610,94
FR;2022-05-31-2022-06-06;[03-06);05;2317251,75;1196,00;11924,00;51,61;10,03;514,58
FR;2022-06-01-2022-06-07;[03-06);05;2317251,75;1477,00;13526,00;63,74;10,92;583,71
FR;2022-06-02-2022-06-08;[03-06);05;2317251,75;1601,00;14267,00;69,09;11,22;615,69
FR;2022-06-03-2022-06-09;[03-06);05;2317251,75;1772,00;15004,00;76,47;11,81;647,49
FR;2022-06-04-2022-06-10;[03-06);05;2317251,75;1901,00;15797,00;82,04;12,03;681,71
FR;2022-06-05-2022-06-11;[03-06);05;2317251,75;1988,00;16402,00;85,79;12,12;707,82
FR;2022-06-06-2022-06-12;[03-06);05;2317251,75;2014,00;16643,00;86,91;12,10;718,22
FR;2022-06-07-2022-06-13;[03-06);05;2317251,75;2634,00;20770,00;113,67;12,68;896,32
FR;2022-06-08-2022-06-14;[03-06);05;2317251,75;2641,00;20949,00;113,97;12,61;904,05
FR;2022-06-09-2022-06-15;[03-06);05;2317251,75;2803,00;22176,00;120,96;12,64;957,00
FR;2022-06-10-2022-06-16;[03-06);05;2317251,75;2958,00;23182,00;127,65;12,76;1000,41
FR;2022-06-11-2022-06-17;[03-06);05;2317251,75;3181,00;24099,00;137,27;13,20;1039,98
FR;2022-06-12-2022-06-18;[03-06);05;2317251,75;3329,00;24872,00;143,66;13,38;1073,34
FR;2022-06-13-2022-06-19;[03-06);05;2317251,75;3379,00;25205,00;145,82;13,41;1087,71
FR;2022-06-14-2022-06-20;[03-06);05;2317251,75;3734,00;27029,00;161,14;13,81;1166,42
FR;2022-06-15-2022-06-21;[03-06);05;2317251,75;4020,00;28612,00;173,48;14,05;1234,74
FR;2022-06-16-2022-06-22;[03-06);05;2317251,75;4391,00;30782,00;189,49;14,26;1328,38
FR;2022-06-17-2022-06-23;[03-06);05;2317251,75;4739,00;33058,00;204,51;14,34;1426,60
FR;2022-06-18-2022-06-24;[03-06);05;2317251,75;5046,00;35263,00;217,76;14,31;1521,76
FR;2022-06-19-2022-06-25;[03-06);05;2317251,75;5328,00;37439,00;229,93;14,23;1615,66
FR;2022-06-20-2022-06-26;[03-06);05;2317251,75;5388,00;37881,00;232,52;14,22;1634,74
FR;2022-06-21-2022-06-27;[03-06);05;2317251,75;6000,00;41790,00;258,93;14,36;1803,43
FR;2022-06-22-2022-06-28;[03-06);05;2317251,75;6417,00;44589,00;276,92;14,39;1924,22
FR;2022-06-23-2022-06-29;[03-06);05;2317251,75;6907,00;48067,00;298,07;14,37;2074,31
FR;2022-06-24-2022-06-30;[03-06);05;2317251,75;7402,00;50591,00;319,43;14,63;2183,23
FR;2022-06-25-2022-07-01;[03-06);05;2317251,75;7949,00;52625,00;343,04;15,10;2271,01
FR;2020-05-07-2020-05-13;[06-11);10;4129583,00;11,00;599,00;0,27;1,84;14,51
FR;2020-05-08-2020-05-14;[06-11);10;4129583,00;21,00;1302,00;0,51;1,61;31,53
FR;2020-05-09-2020-05-15;[06-11);10;4129583,00;32,00;2260,00;0,77;1,42;54,73
FR;2020-05-10-2020-05-16;[06-11);10;4129583,00;38,00;2673,00;0,92;1,42;64,73
FR;2020-05-11-2020-05-17;[06-11);10;4129583,00;40,00;2785,00;0,97;1,44;67,44
FR;2020-05-12-2020-05-18;[06-11);10;4129583,00;53,00;3825,00;1,28;1,39;92,62
FR;2020-05-13-2020-05-19;[06-11);10;4129583,00;63,00;4993,00;1,53;1,26;120,91
FR;2020-05-14-2020-05-20;[06-11);10;4129583,00;71,00;5703,00;1,72;1,24;138,10
FR;2020-05-15-2020-05-21;[06-11);10;4129583,00;64,00;5234,00;1,55;1,22;126,74
FR;2020-05-16-2020-05-22;[06-11);10;4129583,00;61,00;5443,00;1,48;1,12;131,81
FR;2020-05-17-2020-05-23;[06-11);10;4129583,00;58,00;5460,00;1,40;1,06;132,22
FR;2020-05-18-2020-05-24;[06-11);10;4129583,00;59,00;5508,00;1,43;1,07;133,38
FR;2020-05-19-2020-05-25;[06-11);10;4129583,00;55,00;5603,00;1,33;0,98;135,68
FR;2020-05-20-2020-05-26;[06-11);10;4129583,00;58,00;5622,00;1,40;1,03;136,14
FR;2020-05-21-2020-05-27;[06-11);10;4129583,00;58,00;5435,00;1,40;1,07;131,61
FR;2020-05-22-2020-05-28;[06-11);10;4129583,00;73,00;6253,00;1,77;1,17;151,42
FR;2020-05-23-2020-05-29;[06-11);10;4129583,00;80,00;6334,00;1,94;1,26;153,38
FR;2020-05-24-2020-05-30;[06-11);10;4129583,00;86,00;6482,00;2,08;1,33;156,96
FR;2020-05-25-2020-05-31;[06-11);10;4129583,00;85,00;6503,00;2,06;1,31;157,47
FR;2020-05-26-2020-06-01;[06-11);10;4129583,00;80,00;5588,00;1,94;1,43;135,32
FR;2020-05-27-2020-06-02;[06-11);10;4129583,00;90,00;5453,00;2,18;1,65;132,05
FR;2020-05-28-2020-06-03;[06-11);10;4129583,00;81,00;5342,00;1,96;1,52;129,36
FR;2020-05-29-2020-06-04;[06-11);10;4129583,00;76,00;5260,00;1,84;1,44;127,37
FR;2020-05-30-2020-06-05;[06-11);10;4129583,00;73,00;5089,00;1,77;1,43;123,23
FR;2020-05-31-2020-06-06;[06-11);10;4129583,00;72,00;4975,00;1,74;1,45;120,47
FR;2020-06-01-2020-06-07;[06-11);10;4129583,00;75,00;4941,00;1,82;1,52;119,65
FR;2020-06-02-2020-06-08;[06-11);10;4129583,00;84,00;5667,00;2,03;1,48;137,23
FR;2020-06-03-2020-06-09;[06-11);10;4129583,00;75,00;5622,00;1,82;1,33;136,14
FR;2020-06-04-2020-06-10;[06-11);10;4129583,00;82,00;5539,00;1,99;1,48;134,13
FR;2020-06-05-2020-06-11;[06-11);10;4129583,00;93,00;5512,00;2,25;1,69;133,48
FR;2020-06-06-2020-06-12;[06-11);10;4129583,00;114,00;5523,00;2,76;2,06;133,74
FR;2020-06-07-2020-06-13;[06-11);10;4129583,00;114,00;5484,00;2,76;2,08;132,80
FR;2020-06-08-2020-06-14;[06-11);10;4129583,00;111,00;5454,00;2,69;2,04;132,07
FR;2020-06-09-2020-06-15;[06-11);10;4129583,00;109,00;5457,00;2,64;2,00;132,14
FR;2020-06-10-2020-06-16;[06-11);10;4129583,00;115,00;5468,00;2,78;2,10;132,41
FR;2020-06-11-2020-06-17;[06-11);10;4129583,00;126,00;5505,00;3,05;2,29;133,31
FR;2020-06-12-2020-06-18;[06-11);10;4129583,00;123,00;5606,00;2,98;2,19;135,75
FR;2020-06-13-2020-06-19;[06-11);10;4129583,00;118,00;5654,00;2,86;2,09;136,91
FR;2020-06-14-2020-06-20;[06-11);10;4129583,00;126,00;5763,00;3,05;2,19;139,55
FR;2020-06-15-2020-06-21;[06-11);10;4129583,00;124,00;5762,00;3,00;2,15;139,53
FR;2020-06-16-2020-06-22;[06-11);10;4129583,00;140,00;6056,00;3,39;2,31;146,65
FR;2020-06-17-2020-06-23;[06-11);10;4129583,00;148,00;6470,00;3,58;2,29;156,67
FR;2020-06-18-2020-06-24;[06-11);10;4129583,00;153,00;6931,00;3,70;2,21;167,84
FR;2020-06-19-2020-06-25;[06-11);10;4129583,00;143,00;7294,00;3,46;1,96;176,63
FR;2020-06-20-2020-06-26;[06-11);10;4129583,00;130,00;8187,00;3,15;1,59;198,25
FR;2020-06-21-2020-06-27;[06-11);10;4129583,00;131,00;8647,00;3,17;1,51;209,39
FR;2020-06-22-2020-06-28;[06-11);10;4129583,00;139,00;8780,00;3,37;1,58;212,61
FR;2020-06-23-2020-06-29;[06-11);10;4129583,00;135,00;10425,00;3,27;1,29;252,45
FR;2020-06-24-2020-06-30;[06-11);10;4129583,00;136,00;11977,00;3,29;1,14;290,03
FR;2020-06-25-2020-07-01;[06-11);10;4129583,00;130,00;13601,00;3,15;0,96;329,36
FR;2020-06-26-2020-07-02;[06-11);10;4129583,00;135,00;15155,00;3,27;0,89;366,99
FR;2020-06-27-2020-07-03;[06-11);10;4129583,00;147,00;16425,00;3,56;0,89;397,74
FR;2020-06-28-2020-07-04;[06-11);10;4129583,00;139,00;17058,00;3,37;0,81;413,07
FR;2020-06-29-2020-07-05;[06-11);10;4129583,00;131,00;17069,00;3,17;0,77;413,33
FR;2020-06-30-2020-07-06;[06-11);10;4129583,00;136,00;17398,00;3,29;0,78;421,30
FR;2020-07-01-2020-07-07;[06-11);10;4129583,00;124,00;17608,00;3,00;0,70;426,39
FR;2020-07-02-2020-07-08;[06-11);10;4129583,00;122,00;17363,00;2,95;0,70;420,45
FR;2020-07-03-2020-07-09;[06-11);10;4129583,00;136,00;17404,00;3,29;0,78;421,45
FR;2020-07-04-2020-07-10;[06-11);10;4129583,00;147,00;17696,00;3,56;0,83;428,52
FR;2020-07-05-2020-07-11;[06-11);10;4129583,00;154,00;17618,00;3,73;0,87;426,63
FR;2020-07-06-2020-07-12;[06-11);10;4129583,00;157,00;17611,00;3,80;0,89;426,46
FR;2020-07-07-2020-07-13;[06-11);10;4129583,00;160,00;17303,00;3,87;0,92;419,00
FR;2020-07-08-2020-07-14;[06-11);10;4129583,00;149,00;14470,00;3,61;1,03;350,40
FR;2020-07-09-2020-07-15;[06-11);10;4129583,00;158,00;14512,00;3,83;1,09;351,42
FR;2020-07-10-2020-07-16;[06-11);10;4129583,00;159,00;14311,00;3,85;1,11;346,55
FR;2020-07-11-2020-07-17;[06-11);10;4129583,00;152,00;13776,00;3,68;1,10;333,59
FR;2020-07-12-2020-07-18;[06-11);10;4129583,00;152,00;13619,00;3,68;1,12;329,79
FR;2020-07-13-2020-07-19;[06-11);10;4129583,00;150,00;13697,00;3,63;1,10;331,68
FR;2020-07-14-2020-07-20;[06-11);10;4129583,00;146,00;13555,00;3,54;1,08;328,24
FR;2020-07-15-2020-07-21;[06-11);10;4129583,00;163,00;15802,00;3,95;1,03;382,65
FR;2020-07-16-2020-07-22;[06-11);10;4129583,00;161,00;15583,00;3,90;1,03;377,35
FR;2020-07-17-2020-07-23;[06-11);10;4129583,00;168,00;15234,00;4,07;1,10;368,90
FR;2020-07-18-2020-07-24;[06-11);10;4129583,00;177,00;14745,00;4,29;1,20;357,06
FR;2020-07-19-2020-07-25;[06-11);10;4129583,00;185,00;14672,00;4,48;1,26;355,29
FR;2020-07-20-2020-07-26;[06-11);10;4129583,00;193,00;14698,00;4,67;1,31;355,92
FR;2020-07-21-2020-07-27;[06-11);10;4129583,00;202,00;14591,00;4,89;1,38;353,33
FR;2020-07-22-2020-07-28;[06-11);10;4129583,00;210,00;14581,00;5,09;1,44;353,09
FR;2020-07-23-2020-07-29;[06-11);10;4129583,00;216,00;14781,00;5,23;1,46;357,93
FR;2020-07-24-2020-07-30;[06-11);10;4129583,00;214,00;14998,00;5,18;1,43;363,18
FR;2020-07-25-2020-07-31;[06-11);10;4129583,00;230,00;15272,00;5,57;1,51;369,82
FR;2020-07-26-2020-08-01;[06-11);10;4129583,00;233,00;15267,00;5,64;1,53;369,70
FR;2020-07-27-2020-08-02;[06-11);10;4129583,00;226,00;15224,00;5,47;1,48;368,66
FR;2020-07-28-2020-08-03;[06-11);10;4129583,00;253,00;15403,00;6,13;1,64;372,99
FR;2020-07-29-2020-08-04;[06-11);10;4129583,00;278,00;15419,00;6,73;1,80;373,38
FR;2020-07-30-2020-08-05;[06-11);10;4129583,00;274,00;15030,00;6,64;1,82;363,96
FR;2020-07-31-2020-08-06;[06-11);10;4129583,00;288,00;14883,00;6,97;1,94;360,40
FR;2020-08-01-2020-08-07;[06-11);10;4129583,00;288,00;14610,00;6,97;1,97;353,79
FR;2020-08-02-2020-08-08;[06-11);10;4129583,00;293,00;14470,00;7,10;2,02;350,40
FR;2020-08-03-2020-08-09;[06-11);10;4129583,00;299,00;14473,00;7,24;2,07;350,47
FR;2020-08-04-2020-08-10;[06-11);10;4129583,00;291,00;14268,00;7,05;2,04;345,51
FR;2020-08-05-2020-08-11;[06-11);10;4129583,00;295,00;13989,00;7,14;2,11;338,75
FR;2020-08-06-2020-08-12;[06-11);10;4129583,00;331,00;14110,00;8,02;2,35;341,68
FR;2020-08-07-2020-08-13;[06-11);10;4129583,00;349,00;14503,00;8,45;2,41;351,20
FR;2020-08-08-2020-08-14;[06-11);10;4129583,00;369,00;14886,00;8,94;2,48;360,47
FR;2020-08-09-2020-08-15;[06-11);10;4129583,00;352,00;14350,00;8,52;2,45;347,49
FR;2020-08-10-2020-08-16;[06-11);10;4129583,00;354,00;14486,00;8,57;2,44;350,79
FR;2020-08-11-2020-08-17;[06-11);10;4129583,00;383,00;15153,00;9,27;2,53;366,94
FR;2020-08-12-2020-08-18;[06-11);10;4129583,00;403,00;15878,00;9,76;2,54;384,49
FR;2020-08-13-2020-08-19;[06-11);10;4129583,00;405,00;16083,00;9,81;2,52;389,46
FR;2020-08-14-2020-08-20;[06-11);10;4129583,00;430,00;16152,00;10,41;2,66;391,13
FR;2020-08-15-2020-08-21;[06-11);10;4129583,00;445,00;16420,00;10,78;2,71;397,62
FR;2020-08-16-2020-08-22;[06-11);10;4129583,00;479,00;17333,00;11,60;2,76;419,73
FR;2020-08-17-2020-08-23;[06-11);10;4129583,00;479,00;17241,00;11,60;2,78;417,50
FR;2020-08-18-2020-08-24;[06-11);10;4129583,00;523,00;17541,00;12,66;2,98;424,76
FR;2020-08-19-2020-08-25;[06-11);10;4129583,00;567,00;17912,00;13,73;3,17;433,75
FR;2020-08-20-2020-08-26;[06-11);10;4129583,00;612,00;18711,00;14,82;3,27;453,10
FR;2020-08-21-2020-08-27;[06-11);10;4129583,00;683,00;19613,00;16,54;3,48;474,94
FR;2020-08-22-2020-08-28;[06-11);10;4129583,00;783,00;20747,00;18,96;3,77;502,40
FR;2020-08-23-2020-08-29;[06-11);10;4129583,00;796,00;21322,00;19,28;3,73;516,32
FR;2020-08-24-2020-08-30;[06-11);10;4129583,00;814,00;21527,00;19,71;3,78;521,29
FR;2020-08-25-2020-08-31;[06-11);10;4129583,00;914,00;22804,00;22,13;4,01;552,21
FR;2020-08-26-2020-09-01;[06-11);10;4129583,00;945,00;23086,00;22,88;4,09;559,04
FR;2020-08-27-2020-09-02;[06-11);10;4129583,00;1027,00;23928,00;24,87;4,29;579,43
FR;2020-08-28-2020-09-03;[06-11);10;4129583,00;1082,00;24418,00;26,20;4,43;591,29
FR;2020-08-29-2020-09-04;[06-11);10;4129583,00;1171,00;26436,00;28,36;4,43;640,16
FR;2020-08-30-2020-09-05;[06-11);10;4129583,00;1229,00;28077,00;29,76;4,38;679,90
FR;2020-08-31-2020-09-06;[06-11);10;4129583,00;1228,00;28450,00;29,74;4,32;688,93
FR;2020-09-01-2020-09-07;[06-11);10;4129583,00;1359,00;34780,00;32,91;3,91;842,22
FR;2020-09-02-2020-09-08;[06-11);10;4129583,00;1620,00;46089,00;39,23;3,51;1116,07
FR;2020-09-03-2020-09-09;[06-11);10;4129583,00;1793,00;55976,00;43,42;3,20;1355,49
FR;2020-09-04-2020-09-10;[06-11);10;4129583,00;1975,00;67808,00;47,83;2,91;1642,01
FR;2020-09-05-2020-09-11;[06-11);10;4129583,00;2114,00;80799,00;51,19;2,62;1956,59
FR;2020-09-06-2020-09-12;[06-11);10;4129583,00;2132,00;84179,00;51,63;2,53;2038,44
FR;2020-09-07-2020-09-13;[06-11);10;4129583,00;2145,00;84660,00;51,94;2,53;2050,09
FR;2020-09-08-2020-09-14;[06-11);10;4129583,00;2232,00;91562,00;54,05;2,44;2217,22
