fra;sg;cage_scol;cl_age18;pop;P;T;Ti;Tp;Td
FR;2020-11-23-2020-11-29;[00-03);02;2153747,25;342,00;6556,00;15,88;5,22;304,40
FR;2020-11-24-2020-11-30;[00-03);02;2153747,25;344,00;6415,00;15,97;5,36;297,85
FR;2020-11-25-2020-12-01;[00-03);02;2153747,25;321,00;6341,00;14,90;5,06;294,42
FR;2020-11-26-2020-12-02;[00-03);02;2153747,25;302,00;6226,00;14,02;4,85;289,08
FR;2020-11-27-2020-12-03;[00-03);02;2153747,25;306,00;6242,00;14,21;4,90;289,82
FR;2020-11-28-2020-12-04;[00-03);02;2153747,25;311,00;6236,00;14,44;4,99;289,54
FR;2020-11-29-2020-12-05;[00-03);02;2153747,25;419,00;6400,00;19,45;6,55;297,16
FR;2020-11-30-2020-12-06;[00-03);02;2153747,25;420,00;6455,00;19,50;6,51;299,71
FR;2020-12-01-2020-12-07;[00-03);02;2153747,25;420,00;6523,00;19,50;6,44;302,87
FR;2020-12-02-2020-12-08;[00-03);02;2153747,25;421,00;6591,00;19,55;6,39;306,02
FR;2020-12-03-2020-12-09;[00-03);02;2153747,25;442,00;6701,00;20,52;6,60;311,13
FR;2020-12-04-2020-12-10;[00-03);02;2153747,25;439,00;6798,00;20,38;6,46;315,64
FR;2020-12-05-2020-12-11;[00-03);02;2153747,25;438,00;6856,00;20,34;6,39;318,33
FR;2020-12-06-2020-12-12;[00-03);02;2153747,25;349,00;6830,00;16,20;5,11;317,12
FR;2020-12-07-2020-12-13;[00-03);02;2153747,25;341,00;6829,00;15,83;4,99;317,08
FR;2020-12-08-2020-12-14;[00-03);02;2153747,25;338,00;7063,00;15,69;4,79;327,94
FR;2020-12-09-2020-12-15;[00-03);02;2153747,25;357,00;7299,00;16,58;4,89;338,90
FR;2020-12-10-2020-12-16;[00-03);02;2153747,25;359,00;7667,00;16,67;4,68;355,98
FR;2020-12-11-2020-12-17;[00-03);02;2153747,25;358,00;8123,00;16,62;4,41;377,16
FR;2020-12-12-2020-12-18;[00-03);02;2153747,25;375,00;8891,00;17,41;4,22;412,82
FR;2020-12-13-2020-12-19;[00-03);02;2153747,25;374,00;9428,00;17,37;3,97;437,75
FR;2020-12-14-2020-12-20;[00-03);02;2153747,25;388,00;9673,00;18,02;4,01;449,12
FR;2020-12-15-2020-12-21;[00-03);02;2153747,25;398,00;10287,00;18,48;3,87;477,63
FR;2020-12-16-2020-12-22;[00-03);02;2153747,25;385,00;11104,00;17,88;3,47;515,57
FR;2020-12-17-2020-12-23;[00-03);02;2153747,25;370,00;11654,00;17,18;3,17;541,10
FR;2020-12-18-2020-12-24;[00-03);02;2153747,25;372,00;11659,00;17,27;3,19;541,34
FR;2020-12-19-2020-12-25;[00-03);02;2153747,25;305,00;10153,00;14,16;3,00;471,41
FR;2020-12-20-2020-12-26;[00-03);02;2153747,25;303,00;9735,00;14,07;3,11;452,00
FR;2020-12-21-2020-12-27;[00-03);02;2153747,25;300,00;9536,00;13,93;3,15;442,76
FR;2020-12-22-2020-12-28;[00-03);02;2153747,25;295,00;8732,00;13,70;3,38;405,43
FR;2020-12-23-2020-12-29;[00-03);02;2153747,25;300,00;7663,00;13,93;3,91;355,80
FR;2020-12-24-2020-12-30;[00-03);02;2153747,25;312,00;6748,00;14,49;4,62;313,31
FR;2020-12-25-2020-12-31;[00-03);02;2153747,25;314,00;6306,00;14,58;4,98;292,79
FR;2020-12-26-2021-01-01;[00-03);02;2153747,25;317,00;6188,00;14,72;5,12;287,31
FR;2020-12-27-2021-01-02;[00-03);02;2153747,25;333,00;6112,00;15,46;5,45;283,78
FR;2020-12-28-2021-01-03;[00-03);02;2153747,25;330,00;6054,00;15,32;5,45;281,09
FR;2020-12-29-2021-01-04;[00-03);02;2153747,25;344,00;5909,00;15,97;5,82;274,36
FR;2020-12-30-2021-01-05;[00-03);02;2153747,25;346,00;5718,00;16,07;6,05;265,49
FR;2020-12-31-2021-01-06;[00-03);02;2153747,25;331,00;5509,00;15,37;6,01;255,79
FR;2021-01-01-2021-01-07;[00-03);02;2153747,25;360,00;5251,00;16,72;6,86;243,81
FR;2021-01-02-2021-01-08;[00-03);02;2153747,25;413,00;5916,00;19,18;6,98;274,68
FR;2021-01-03-2021-01-09;[00-03);02;2153747,25;390,00;5795,00;18,11;6,73;269,07
FR;2021-01-04-2021-01-10;[00-03);02;2153747,25;390,00;5785,00;18,11;6,74;268,60
FR;2021-01-05-2021-01-11;[00-03);02;2153747,25;405,00;5825,00;18,80;6,95;270,46
FR;2021-01-06-2021-01-12;[00-03);02;2153747,25;414,00;6061,00;19,22;6,83;281,42
FR;2021-01-07-2021-01-13;[00-03);02;2153747,25;438,00;6318,00;20,34;6,93;293,35
FR;2021-01-08-2021-01-14;[00-03);02;2153747,25;427,00;6644,00;19,83;6,43;308,49
FR;2021-01-09-2021-01-15;[00-03);02;2153747,25;458,00;6995,00;21,27;6,55;324,78
FR;2021-01-10-2021-01-16;[00-03);02;2153747,25;478,00;7169,00;22,19;6,67;332,86
FR;2021-01-11-2021-01-17;[00-03);02;2153747,25;481,00;7260,00;22,33;6,63;337,09
FR;2021-01-12-2021-01-18;[00-03);02;2153747,25;499,00;7634,00;23,17;6,54;354,45
FR;2021-01-13-2021-01-19;[00-03);02;2153747,25;513,00;7939,00;23,82;6,46;368,61
FR;2021-01-14-2021-01-20;[00-03);02;2153747,25;535,00;8293,00;24,84;6,45;385,05
