epci;sg;cage65;cl_age65;pop;P;T;Ti;Tp;Td
200023414;2020-06-30-2020-07-06;[00-65);64;387225,75;60,88;4833,67;15,72;1,26;1248,28
200023414;2020-07-01-2020-07-07;[00-65);64;387225,75;59,88;4982,10;15,46;1,20;1286,61
200023414;2020-07-02-2020-07-08;[00-65);64;387225,75;56,78;5203,43;14,66;1,09;1343,77
200023414;2020-07-03-2020-07-09;[00-65);64;387225,75;64,78;5619,94;16,73;1,15;1451,33
200023414;2020-07-04-2020-07-10;[00-65);64;387225,75;61,78;5896,94;15,95;1,05;1522,87
200023414;2020-07-05-2020-07-11;[00-65);64;387225,75;57,78;5780,43;14,92;1,00;1492,78
200023414;2020-07-06-2020-07-12;[00-65);64;387225,75;57,78;5812,71;14,92;0,99;1501,12
200023414;2020-07-07-2020-07-13;[00-65);64;387225,75;55,90;5349,60;14,43;1,04;1381,52
200023414;2020-07-08-2020-07-14;[00-65);64;387225,75;44,90;4613,93;11,59;0,97;1191,54
200023414;2020-07-09-2020-07-15;[00-65);64;387225,75;41,00;4634,69;10,59;0,88;1196,90
200023414;2020-07-10-2020-07-16;[00-65);64;387225,75;33,00;4303,66;8,52;0,77;1111,41
200023414;2020-07-11-2020-07-17;[00-65);64;387225,75;31,00;4259,90;8,01;0,73;1100,11
200023414;2020-07-12-2020-07-18;[00-65);64;387225,75;26,00;4043,27;6,71;0,64;1044,16
200023414;2020-07-13-2020-07-19;[00-65);64;387225,75;25,00;3959,58;6,46;0,63;1022,55
200023414;2020-07-14-2020-07-20;[00-65);64;387225,75;21,00;3917,76;5,42;0,54;1011,75
200023414;2020-07-15-2020-07-21;[00-65);64;387225,75;22,00;4142,55;5,68;0,53;1069,80
200023414;2020-07-16-2020-07-22;[00-65);64;387225,75;19,90;3651,93;5,14;0,54;943,10
200023414;2020-07-17-2020-07-23;[00-65);64;387225,75;20,90;3435,53;5,40;0,61;887,22
200023414;2020-07-18-2020-07-24;[00-65);64;387225,75;21,90;3077,36;5,66;0,71;794,72
200023414;2020-07-19-2020-07-25;[00-65);64;387225,75;24,90;3024,45;6,43;0,82;781,06
200023414;2020-07-20-2020-07-26;[00-65);64;387225,75;26,90;3024,06;6,95;0,89;780,96
200023414;2020-07-21-2020-07-27;[00-65);64;387225,75;29,90;2915,62;7,72;1,03;752,95
200023414;2020-07-22-2020-07-28;[00-65);64;387225,75;32,90;2975,48;8,50;1,11;768,41
200023414;2020-07-23-2020-07-29;[00-65);64;387225,75;39,00;3135,97;10,07;1,24;809,86
200023414;2020-07-24-2020-07-30;[00-65);64;387225,75;36,00;3073,21;9,30;1,17;793,65
200023414;2020-07-25-2020-07-31;[00-65);64;387225,75;41,00;3092,99;10,59;1,33;798,76
200023414;2020-07-26-2020-08-01;[00-65);64;387225,75;46,00;3244,99;11,88;1,42;838,01
200023414;2020-07-27-2020-08-02;[00-65);64;387225,75;53,00;3296,24;13,69;1,61;851,25
200023414;2020-07-28-2020-08-03;[00-65);64;387225,75;56,00;3381,81;14,46;1,66;873,34
200023414;2020-07-29-2020-08-04;[00-65);64;387225,75;60,00;3335,59;15,49;1,80;861,41
200023414;2020-07-30-2020-08-05;[00-65);64;387225,75;62,00;3201,01;16,01;1,94;826,65
200023414;2020-07-31-2020-08-06;[00-65);64;387225,75;67,00;3282,30;17,30;2,04;847,65
200023414;2020-08-01-2020-08-07;[00-65);64;387225,75;75,90;3377,77;19,60;2,25;872,30
200023414;2020-08-02-2020-08-08;[00-65);64;387225,75;74,90;3283,80;19,34;2,28;848,03
200023414;2020-08-03-2020-08-09;[00-65);64;387225,75;66,90;3197,80;17,28;2,09;825,82
200023414;2020-08-04-2020-08-10;[00-65);64;387225,75;63,90;3014,10;16,50;2,12;778,38
200023414;2020-08-05-2020-08-11;[00-65);64;387225,75;69,90;3069,42;18,05;2,28;792,67
200023414;2020-08-06-2020-08-12;[00-65);64;387225,75;69,90;3009,39;18,05;2,32;777,17
200023414;2020-08-07-2020-08-13;[00-65);64;387225,75;70,90;2979,49;18,31;2,38;769,45
200023414;2020-08-08-2020-08-14;[00-65);64;387225,75;65,00;2878,52;16,79;2,26;743,37
200023414;2020-08-09-2020-08-15;[00-65);64;387225,75;63,00;2852,69;16,27;2,21;736,70
200023414;2020-08-10-2020-08-16;[00-65);64;387225,75;72,00;2930,64;18,59;2,46;756,83
200023414;2020-08-11-2020-08-17;[00-65);64;387225,75;81,00;3137,66;20,92;2,58;810,29
200023414;2020-08-12-2020-08-18;[00-65);64;387225,75;87,84;3250,24;22,68;2,70;839,37
200023414;2020-08-13-2020-08-19;[00-65);64;387225,75;106,84;3486,67;27,59;3,06;900,42
200023414;2020-08-14-2020-08-20;[00-65);64;387225,75;113,84;3711,33;29,40;3,07;958,44
200023414;2020-08-15-2020-08-21;[00-65);64;387225,75;124,84;4084,40;32,24;3,06;1054,79
200023414;2020-08-16-2020-08-22;[00-65);64;387225,75;137,84;4300,10;35,60;3,21;1110,49
200023414;2020-08-17-2020-08-23;[00-65);64;387225,75;134,84;4337,77;34,82;3,11;1120,22
200023414;2020-08-18-2020-08-24;[00-65);64;387225,75;158,76;4640,05;41,00;3,42;1198,28
200023414;2020-08-19-2020-08-25;[00-65);64;387225,75;196,93;4873,19;50,86;4,04;1258,49
200023414;2020-08-20-2020-08-26;[00-65);64;387225,75;211,50;5141,53;54,62;4,11;1327,79
200023414;2020-08-21-2020-08-27;[00-65);64;387225,75;271,96;5762,66;70,23;4,72;1488,19
200023414;2020-08-22-2020-08-28;[00-65);64;387225,75;289,87;6140,75;74,86;4,72;1585,83
200023414;2020-08-23-2020-08-29;[00-65);64;387225,75;312,87;6203,84;80,80;5,04;1602,12
200023414;2020-08-24-2020-08-30;[00-65);64;387225,75;333,87;6363,04;86,22;5,25;1643,24
200023414;2020-08-25-2020-08-31;[00-65);64;387225,75;389,49;6681,74;100,59;5,83;1725,54
200023414;2020-08-26-2020-09-01;[00-65);64;387225,75;389,38;6830,72;100,56;5,70;1764,01
200023414;2020-08-27-2020-09-02;[00-65);64;387225,75;424,56;7095,89;109,64;5,98;1832,49
200023414;2020-08-28-2020-09-03;[00-65);64;387225,75;461,92;7124,35;119,29;6,48;1839,84
200023414;2020-08-29-2020-09-04;[00-65);64;387225,75;503,62;7054,72;130,06;7,14;1821,86
200023414;2020-08-30-2020-09-05;[00-65);64;387225,75;492,47;6993,07;127,18;7,04;1805,94
200023414;2020-08-31-2020-09-06;[00-65);64;387225,75;513,47;7077,89;132,60;7,25;1827,85
200023414;2020-09-01-2020-09-07;[00-65);64;387225,75;540,42;7285,07;139,56;7,42;1881,35
200023414;2020-09-02-2020-09-08;[00-65);64;387225,75;573,36;7657,64;148,07;7,49;1977,56
200023414;2020-09-03-2020-09-09;[00-65);64;387225,75;610,18;8108,20;157,58;7,53;2093,92
200023414;2020-09-04-2020-09-10;[00-65);64;387225,75;607,04;8412,65;156,77;7,22;2172,55
200023414;2020-09-05-2020-09-11;[00-65);64;387225,75;648,89;9148,76;167,57;7,09;2362,64
200023414;2020-09-06-2020-09-12;[00-65);64;387225,75;660,04;9431,17;170,45;7,00;2435,57
200023414;2020-09-07-2020-09-13;[00-65);64;387225,75;626,04;9386,90;161,67;6,67;2424,14
200023414;2020-09-08-2020-09-14;[00-65);64;387225,75;613,29;9434,91;158,38;6,50;2436,54
200023414;2020-09-09-2020-09-15;[00-65);64;387225,75;676,20;9770,05;174,63;6,92;2523,09
200023414;2020-09-10-2020-09-16;[00-65);64;387225,75;736,43;9993,59;190,18;7,37;2580,82
200023414;2020-09-11-2020-09-17;[00-65);64;387225,75;798,53;10421,28;206,22;7,66;2691,27
200023414;2020-09-12-2020-09-18;[00-65);64;387225,75;834,42;10097,58;215,49;8,26;2607,67
200023414;2020-09-13-2020-09-19;[00-65);64;387225,75;876,42;10195,75;226,33;8,60;2633,03
200023414;2020-09-14-2020-09-20;[00-65);64;387225,75;898,42;10309,00;232,01;8,71;2662,27
200023414;2020-09-15-2020-09-21;[00-65);64;387225,75;993,90;10512,38;256,67;9,45;2714,79
200023414;2020-09-16-2020-09-22;[00-65);64;387225,75;995,66;10162,61;257,13;9,80;2624,47
200023414;2020-09-17-2020-09-23;[00-65);64;387225,75;945,54;9606,93;244,18;9,84;2480,96
200023414;2020-09-18-2020-09-24;[00-65);64;387225,75;869,65;8837,52;224,59;9,84;2282,27
200023414;2020-09-19-2020-09-25;[00-65);64;387225,75;817,95;8672,77;211,23;9,43;2239,72
200023414;2020-09-20-2020-09-26;[00-65);64;387225,75;769,94;8232,38;198,83;9,35;2125,99
200023414;2020-09-21-2020-09-27;[00-65);64;387225,75;757,94;7959,60;195,73;9,52;2055,54
200023414;2020-09-22-2020-09-28;[00-65);64;387225,75;640,42;7393,01;165,39;8,66;1909,22
200023414;2020-09-23-2020-09-29;[00-65);64;387225,75;571,58;7042,32;147,61;8,12;1818,66
200023414;2020-09-24-2020-09-30;[00-65);64;387225,75;563,48;6836,79;145,52;8,24;1765,58
200023414;2020-09-25-2020-10-01;[00-65);64;387225,75;610,31;6571,92;157,61;9,29;1697,18
200023414;2020-09-26-2020-10-02;[00-65);64;387225,75;673,44;6448,55;173,91;10,44;1665,32
200023414;2020-09-27-2020-10-03;[00-65);64;387225,75;695,45;6521,63;179,60;10,66;1684,19
200023414;2020-09-28-2020-10-04;[00-65);64;387225,75;727,45;6622,39;187,86;10,98;1710,21
200023414;2020-09-29-2020-10-05;[00-65);64;387225,75;837,22;6762,74;216,21;12,38;1746,46
200023414;2020-09-30-2020-10-06;[00-65);64;387225,75;930,48;7072,35;240,29;13,16;1826,41
200023414;2020-10-01-2020-10-07;[00-65);64;387225,75;1040,56;7454,82;268,72;13,96;1925,19
200023414;2020-10-02-2020-10-08;[00-65);64;387225,75;1059,32;7795,93;273,57;13,59;2013,28
200023414;2020-10-03-2020-10-09;[00-65);64;387225,75;1062,76;8046,63;274,45;13,21;2078,02
200023414;2020-10-04-2020-10-10;[00-65);64;387225,75;1092,68;8190,87;282,18;13,34;2115,27
200023414;2020-10-05-2020-10-11;[00-65);64;387225,75;1098,55;8240,40;283,70;13,33;2128,06
200023414;2020-10-06-2020-10-12;[00-65);64;387225,75;1100,46;8451,24;284,19;13,02;2182,51
200023414;2020-10-07-2020-10-13;[00-65);64;387225,75;1129,47;8813,32;291,68;12,82;2276,02
200023414;2020-10-08-2020-10-14;[00-65);64;387225,75;1089,23;9016,86;281,29;12,08;2328,58
200023414;2020-10-09-2020-10-15;[00-65);64;387225,75;1103,85;9552,65;285,07;11,56;2466,95
200023414;2020-10-10-2020-10-16;[00-65);64;387225,75;1163,81;10018,13;300,55;11,62;2587,16
200023414;2020-10-11-2020-10-17;[00-65);64;387225,75;1155,71;10136,31;298,46;11,40;2617,67
200023414;2020-10-12-2020-10-18;[00-65);64;387225,75;1132,85;10066,56;292,55;11,25;2599,66
200023414;2020-10-13-2020-10-19;[00-65);64;387225,75;1180,06;10421,61;304,75;11,32;2691,35
200023414;2020-10-14-2020-10-20;[00-65);64;387225,75;1200,12;10266,93;309,93;11,69;2651,41
200023414;2020-10-15-2020-10-21;[00-65);64;387225,75;1269,42;10408,35;327,82;12,20;2687,93
200023414;2020-10-16-2020-10-22;[00-65);64;387225,75;1365,71;10396,39;352,69;13,14;2684,84
200023414;2020-10-17-2020-10-23;[00-65);64;387225,75;1402,98;10277,16;362,32;13,65;2654,05
200023414;2020-10-18-2020-10-24;[00-65);64;387225,75;1437,90;10360,43;371,33;13,88;2675,55
200023414;2020-10-19-2020-10-25;[00-65);64;387225,75;1460,66;10500,38;377,21;13,91;2711,69
200023414;2020-10-20-2020-10-26;[00-65);64;387225,75;1614,96;10561,67;417,06;15,29;2727,52
