fra;semaine;nb_pos;nb_crib;tx_crib;nb_A0;nb_A1;tx_A1;nb_C0;nb_C1;tx_C1;nb_D0;nb_D1;tx_D1;nb_A0C0;nb_A01C01;tx_A0C0
FR;2022-01-09-2022-01-15;2699151.00;448270.00;16.61;371610.00;1358.00;0.36;369236.00;15124.00;3.93;15653.00;308606.00;95.17;356992.00;372815.00;95.76
FR;2022-01-10-2022-01-16;2726449.00;450394.00;16.52;372973.00;1377.00;0.37;373456.00;14851.00;3.82;15355.00;311710.00;95.31;358651.00;374204.00;95.84
FR;2022-01-11-2022-01-17;2839928.00;476091.00;16.76;396642.00;1358.00;0.34;405514.00;12714.00;3.04;13994.00;352711.00;96.18;384444.00;397864.00;96.63
FR;2022-01-12-2022-01-18;2937392.00;501700.00;17.08;418738.00;1438.00;0.34;434331.00;10957.00;2.46;12765.00;389971.00;96.83;408230.00;419987.00;97.20
FR;2022-01-13-2022-01-19;3034738.00;527986.00;17.40;439187.00;1446.00;0.33;460630.00;9797.00;2.08;11972.00;422500.00;97.24;429836.00;440460.00;97.59
FR;2022-01-14-2022-01-20;3122531.00;550596.00;17.63;458095.00;1662.00;0.36;485283.00;8815.00;1.78;11047.00;449893.00;97.60;449743.00;459606.00;97.85
FR;2022-01-15-2022-01-21;3197126.00;566446.00;17.72;471969.00;1505.00;0.32;501047.00;7769.00;1.53;10184.00;471371.00;97.89;464621.00;473331.00;98.16
FR;2022-01-16-2022-01-22;3251061.00;573667.00;17.65;478295.00;1399.00;0.29;508472.00;7276.00;1.41;9730.00;482487.00;98.02;471413.00;479554.00;98.30
FR;2022-01-17-2022-01-23;3261909.00;575058.00;17.63;479565.00;1359.00;0.28;509716.00;7186.00;1.39;9628.00;484868.00;98.05;472757.00;480785.00;98.33
FR;2022-01-18-2022-01-24;3329701.00;590726.00;17.74;493243.00;1304.00;0.26;524648.00;5936.00;1.12;8732.00;508092.00;98.31;487585.00;494403.00;98.62
FR;2022-01-19-2022-01-25;3316992.00;591658.00;17.84;494839.00;1355.00;0.27;526495.00;5189.00;0.98;8116.00;514389.00;98.45;489902.00;496084.00;98.75
FR;2022-01-20-2022-01-26;3284472.00;587361.00;17.88;491956.00;1299.00;0.26;524314.00;4516.00;0.85;7484.00;514969.00;98.57;487625.00;493136.00;98.88
FR;2022-01-21-2022-01-27;3235768.00;579074.00;17.90;485888.00;1018.00;0.21;518055.00;3825.00;0.73;6880.00;511332.00;98.67;482212.00;486794.00;99.06
FR;2022-01-22-2022-01-28;3176072.00;571987.00;18.01;480283.00;994.00;0.21;512566.00;3319.00;0.64;6325.00;509045.00;98.77;477072.00;481168.00;99.15
FR;2022-01-23-2022-01-29;3121868.00;568970.00;18.23;478342.00;1109.00;0.23;510397.00;3015.00;0.59;6100.00;508300.00;98.81;475441.00;479351.00;99.18
FR;2022-01-24-2022-01-30;3096203.00;567195.00;18.32;477119.00;1165.00;0.24;508996.00;2923.00;0.57;6021.00;507425.00;98.83;474304.00;478189.00;99.19
FR;2022-01-25-2022-01-31;2953592.00;545311.00;18.46;457796.00;1049.00;0.23;489028.00;2490.00;0.51;5188.00;488882.00;98.95;455459.00;458763.00;99.28
FR;2022-01-26-2022-02-01;2832880.00;523472.00;18.48;439413.00;901.00;0.20;470210.00;2074.00;0.44;4766.00;470654.00;99.00;437462.00;440228.00;99.37
FR;2022-01-27-2022-02-02;2702191.00;501436.00;18.56;421769.00;882.00;0.21;451153.00;1795.00;0.40;4321.00;451666.00;99.05;420022.00;422501.00;99.41
FR;2022-01-28-2022-02-03;2570113.00;478158.00;18.60;402836.00;927.00;0.23;430611.00;1631.00;0.38;4009.00;431546.00;99.08;401182.00;403549.00;99.41
FR;2022-01-29-2022-02-04;2424300.00;451205.00;18.61;380808.00;958.00;0.25;406442.00;1436.00;0.35;3733.00;407849.00;99.09;379203.00;381406.00;99.42
FR;2022-01-30-2022-02-05;2307587.00;436119.00;18.90;368913.00;970.00;0.26;392843.00;1388.00;0.35;3685.00;394755.00;99.08;367366.00;369528.00;99.41
FR;2022-01-31-2022-02-06;2261445.00;431546.00;19.08;366047.00;932.00;0.25;388948.00;1388.00;0.36;3704.00;390734.00;99.06;364487.00;366620.00;99.42
FR;2022-02-01-2022-02-07;2018302.00;391987.00;19.42;335031.00;857.00;0.26;354874.00;1164.00;0.33;3491.00;356638.00;99.03;333553.00;335451.00;99.43
FR;2022-02-02-2022-02-08;1847708.00;360237.00;19.50;308665.00;884.00;0.29;325986.00;1084.00;0.33;3180.00;328532.00;99.04;307215.00;309064.00;99.40
FR;2022-02-03-2022-02-09;1686748.00;332399.00;19.71;285050.00;852.00;0.30;300520.00;940.00;0.31;3046.00;303613.00;99.01;283814.00;285494.00;99.41
FR;2022-02-04-2022-02-10;1556808.00;307279.00;19.74;263385.00;748.00;0.28;277479.00;826.00;0.30;2889.00;280680.00;98.98;262310.00;263788.00;99.44
FR;2022-02-05-2022-02-11;1430217.00;285260.00;19.95;244410.00;693.00;0.28;257343.00;729.00;0.28;2668.00;260704.00;98.99;243559.00;244907.00;99.45
FR;2022-02-06-2022-02-12;1336397.00;272825.00;20.41;234163.00;557.00;0.24;245997.00;664.00;0.27;2487.00;249053.00;99.01;233345.00;234524.00;99.50
FR;2022-02-07-2022-02-13;1308480.00;270151.00;20.65;232335.00;541.00;0.23;243501.00;632.00;0.26;2433.00;246495.00;99.02;231553.00;232684.00;99.51
FR;2022-02-08-2022-02-14;1149987.00;240611.00;20.92;206293.00;515.00;0.25;216440.00;424.00;0.20;2085.00;218772.00;99.06;205727.00;206632.00;99.56
FR;2022-02-09-2022-02-15;1057013.00;222260.00;21.03;190240.00;455.00;0.24;199748.00;337.00;0.17;1956.00;201558.00;99.04;189763.00;190513.00;99.61
FR;2022-02-10-2022-02-16;970968.00;206392.00;21.26;176714.00;394.00;0.22;185631.00;332.00;0.18;1828.00;187108.00;99.03;176240.00;176927.00;99.61
FR;2022-02-11-2022-02-17;906588.00;192916.00;21.28;165089.00;377.00;0.23;173415.00;298.00;0.17;1786.00;174552.00;98.99;164651.00;165286.00;99.62
FR;2022-02-12-2022-02-18;840810.00;180804.00;21.50;154971.00;419.00;0.27;162889.00;269.00;0.16;1757.00;163635.00;98.94;154553.00;155203.00;99.58
FR;2022-02-13-2022-02-19;797918.00;174912.00;21.92;150079.00;439.00;0.29;157718.00;246.00;0.16;1723.00;158538.00;98.92;149687.00;150332.00;99.57
FR;2022-02-14-2022-02-20;784747.00;173314.00;22.09;148785.00;443.00;0.30;156315.00;241.00;0.15;1734.00;157056.00;98.91;148397.00;149040.00;99.57
FR;2022-02-15-2022-02-21;714207.00;159452.00;22.33;137113.00;431.00;0.31;144136.00;225.00;0.16;1692.00;144383.00;98.84;136808.00;137427.00;99.55
FR;2022-02-16-2022-02-22;671956.00;150465.00;22.39;129567.00;352.00;0.27;136286.00;180.00;0.13;1571.00;136285.00;98.86;129378.00;129887.00;99.61
FR;2022-02-17-2022-02-23;633846.00;142983.00;22.56;123517.00;285.00;0.23;129822.00;141.00;0.11;1504.00;129568.00;98.85;123363.00;123767.00;99.67
FR;2022-02-18-2022-02-24;602763.00;135950.00;22.55;117558.00;305.00;0.26;123586.00;139.00;0.11;1407.00;123237.00;98.87;117409.00;117830.00;99.64
FR;2022-02-19-2022-02-25;570983.00;128917.00;22.58;111558.00;283.00;0.25;117302.00;205.00;0.17;1377.00;116814.00;98.83;111349.00;111816.00;99.58
FR;2022-02-20-2022-02-26;547705.00;124295.00;22.69;107892.00;279.00;0.26;113354.00;211.00;0.19;1379.00;112808.00;98.79;107672.00;108142.00;99.57
FR;2022-02-21-2022-02-27;541958.00;123414.00;22.77;107289.00;287.00;0.27;112573.00;208.00;0.18;1386.00;112019.00;98.78;107072.00;107549.00;99.56
FR;2022-02-22-2022-02-28;514496.00;116410.00;22.63;101160.00;307.00;0.30;106313.00;205.00;0.19;1300.00;105777.00;98.79;100932.00;101422.00;99.52
FR;2022-02-23-2022-03-01;498688.00;112580.00;22.58;97723.00;412.00;0.42;102945.00;208.00;0.20;1331.00;102296.00;98.72;97500.00;98093.00;99.40
FR;2022-02-24-2022-03-02;487925.00;110223.00;22.59;95652.00;495.00;0.51;100796.00;255.00;0.25;1314.00;100189.00;98.71;95400.00;96110.00;99.26
FR;2022-02-25-2022-03-03;483817.00;109386.00;22.61;94902.00;511.00;0.54;100153.00;301.00;0.30;1317.00;99520.00;98.69;94644.00;95375.00;99.23
FR;2022-02-26-2022-03-04;478935.00;108610.00;22.68;94397.00;541.00;0.57;99686.00;240.00;0.24;1403.00;98795.00;98.60;94205.00;94896.00;99.27
FR;2022-02-27-2022-03-05;480028.00;109033.00;22.71;94881.00;558.00;0.58;100172.00;252.00;0.25;1391.00;99242.00;98.62;94677.00;95395.00;99.25
FR;2022-02-28-2022-03-06;481335.00;109060.00;22.66;94867.00;547.00;0.57;100241.00;253.00;0.25;1377.00;99308.00;98.63;94660.00;95368.00;99.26
FR;2022-03-01-2022-03-07;493968.00;111197.00;22.51;96880.00;653.00;0.67;102499.00;338.00;0.33;1431.00;101432.00;98.61;96661.00;97505.00;99.13
FR;2022-03-02-2022-03-08;506005.00;113538.00;22.44;99130.00;607.00;0.61;104865.00;332.00;0.32;1451.00;103688.00;98.62;98913.00;99710.00;99.20
FR;2022-03-03-2022-03-09;521535.00;116688.00;22.37;102019.00;545.00;0.53;108047.00;301.00;0.28;1527.00;106672.00;98.59;101819.00;102526.00;99.31
FR;2022-03-04-2022-03-10;537903.00;119849.00;22.28;104901.00;528.00;0.50;111239.00;251.00;0.23;1603.00;109651.00;98.56;104717.00;105391.00;99.36
FR;2022-03-05-2022-03-11;558486.00;123624.00;22.14;108198.00;496.00;0.46;114838.00;259.00;0.23;1596.00;113242.00;98.61;108005.00;108659.00;99.40
FR;2022-03-06-2022-03-12;577267.00;127144.00;22.03;111233.00;462.00;0.41;118295.00;245.00;0.21;1686.00;116567.00;98.57;111056.00;111665.00;99.45
